species:ncbi:36911	Clavispora lusitaniae
species:ncbi:8404	rana pipiens
species:ncbi:6157	platyhelminthes
species:ncbi:5592	Microascales
species:ncbi:1213747	Oesophagostomum asperum 
species:ncbi:482135	Thermogymnomonas
species:ncbi:27792	Dermochelyidae 
species:ncbi:25889	Connaraceae 
species:ncbi:57037	Lactobacillus zeae
species:ncbi:37051	meauca mayor
species:ncbi:283734	Staphylococcus pseudintermedius
species:ncbi:161739	Tringa flavipes 
species:ncbi:237618	Serranus phoebe 
species:ncbi:1114208	Paracooperia 
species:ncbi:33310	nematomorfos
species:ncbi:9529	Cercocebus
species:ncbi:189773	Herpetosiphonaceae 
species:ncbi:84982	Desulfofrigus oceanense
species:ncbi:13734	Trionyx 
species:ncbi:1812261	Jeotgalicoccus schoeneichii
species:ncbi:47920	Pseudomonas delafieldii
species:ncbi:6035	Nosema cuniculi
species:ncbi:1283	Staphylococcus haemolyticus
species:ncbi:575963	scytodidae 
species:ncbi:15644	Melica
species:ncbi:95911	Hyaena
species:ncbi:633417	Aeromonas taiwanensis
species:ncbi:189722	Prevotella marshii 
species:ncbi:145392	Bipolaris spicifera 
species:ncbi:8421	rana arbórea
species:ncbi:2129	Ureaplasma
species:ncbi:10190	Rotifera
species:ncbi:504260	Croton texensis
species:ncbi:227942	Lactobacillus gastricus
species:ncbi:1311428	Chaunax stigmaeus 
species:ncbi:71751	galleguito azul
species:ncbi:110564	Clonostachys 
species:ncbi:66895	Streptomyces griseomycini 
species:ncbi:1978203	Crotalaria crispata
species:ncbi:319944	Myrophis vafer
species:ncbi:11308	de ortomixovirus
species:ncbi:93371	Rhinocladium gougerotii
species:ncbi:66189	tortuga gigante de galápagos
species:ncbi:671	Aeromonas hydrophila, sub proteolytica
species:ncbi:242444	de Didelphostrongylus
species:ncbi:101671	Napaeozapus insignis 
species:ncbi:1274	Dermacoccus nishinomiyaensis 
species:ncbi:274537	Chlorobaculum limnaeum
species:ncbi:193460	Streptomyces sanglieri
species:ncbi:5379	Suillus 
species:ncbi:4459	Colocasia 
species:ncbi:33060	Yersinia enterocolitica, bio 3a
species:ncbi:79269	Desulfurella multens 
species:ncbi:13567	Hexamita 
species:ncbi:69138	Cyprinodon macularius
species:ncbi:158851	Trabulsiella 
species:ncbi:57247	Psittacus erithacus 
species:ncbi:49147	Leucothoë 
species:ncbi:10437	Avihepadnavirus
species:ncbi:126713	gaviota occidental
species:ncbi:146616	cormorán de Guanay
species:ncbi:10780	Parvoviridae 
species:ncbi:161587	espetón de las bahías
species:ncbi:1183373	Cantherhines macrocerus
species:ncbi:583360	Umezawaea 
species:ncbi:281916	Poicephalus meyeri
species:ncbi:11618	Arenavirus
species:ncbi:170	Leptospiraceae
species:ncbi:371911	Ringed plover 
species:ncbi:48288	Chordeiles 
species:ncbi:289201	Pontibacillus 
species:ncbi:38413	Eragrostis 
species:ncbi:6290	Haemonchus placei 
species:ncbi:81929	Smithornis
species:ncbi:675609	Nevskia terrae
species:ncbi:209628	Empidonax virescens 
species:ncbi:268267	Isotoma 
species:ncbi:1485	Clostridium 
species:ncbi:219584	rabdovirus de carpa herbívora 
species:ncbi:147709	Carnobacterium inhibens 
species:ncbi:1146875	adenovirus B de pavo 
species:ncbi:74976	Zalophotrema hepaticum
species:ncbi:32201	Carya illinoinensis 
species:ncbi:80853	s de Allomonas
species:ncbi:54338	Etheostoma pallididorsum 
species:ncbi:1242766	Prosopium gemmiferum
species:ncbi:165179	Prevotella copri 
species:ncbi:37181	Budorcas taxicolor
species:ncbi:61453	Catopuma
species:ncbi:44397	Melospiza melodia 
species:ncbi:160029	Neotestudina 
species:ncbi:33033	Peptostreptococcus micros 
species:ncbi:52791	Luscinia 
species:ncbi:1206948	Eucinostomus lefroyi 
species:ncbi:937253	Thermohydrogenium 
species:ncbi:126327	carpa plateada de trompa azul
species:ncbi:42324	hiráceo trepador
species:ncbi:144185	Corynebacterium aquaticum 
species:ncbi:1033978	Plectosphaerellaceae 
species:ncbi:1107316	Neisseria oralis
species:ncbi:53387	Friedmanniella
species:ncbi:9410	Macroderma 
species:ncbi:283168	de Odoribacter
species:ncbi:10659	Corticoviridae 
species:ncbi:360617	Leptopsylla segnis 
species:ncbi:9219	Piciformes
species:ncbi:196071	Sardinella aurita
species:ncbi:186219	de Linognathus 
species:ncbi:112832	Galphimia
species:ncbi:180441	Flavobacterium limicola
species:ncbi:84158	Pseudomonas doudorofii 
species:ncbi:29484	Yersinia frederiksenii 
species:ncbi:34399	Phomopsis 
species:ncbi:221866	arenque enano
species:ncbi:34926	Orange-crested bowerbird 
species:ncbi:126	Planctomycetaceae 
species:ncbi:1390667	Blaps nitens 
species:ncbi:29261	de virus Ntaya 
species:ncbi:1831	s de Rhodococcus
species:ncbi:6178	trematodo 
species:ncbi:158847	Bacteroides hypermegas
species:ncbi:187106	paloma de Nicobar
species:ncbi:90268	de Apophysomyces
species:ncbi:32604	virus herpes humano 6B 
species:ncbi:224716	sardina japonesa
species:ncbi:261739	Arctocebus calabarenisi
species:ncbi:184449	Stereolepis gigas
species:ncbi:899	Desulfomicrobium baculatum 
species:ncbi:64898	Aquificaceae
species:ncbi:137743	Boletus biennis
species:ncbi:203470	Tepidiphilus 
species:ncbi:886	Thermodesulfobacterium mobile
species:ncbi:160798	Marinitoga
species:ncbi:45669	Salinicoccus
species:ncbi:187451	Vidua macroura 
species:ncbi:478	Moraxella nonliquefaciens
species:ncbi:208076	Yellow-bellied sunbird
species:ncbi:143920	Alphanodavirus 
species:ncbi:13515	lemur marrón
species:ncbi:701041	Mycobacterium bouchedurhonense
species:ncbi:135626	Shewanella olleyana
species:ncbi:241856	Antiaris
species:ncbi:229219	de Blastomyces
species:ncbi:118883	Sulfolobaceae 
species:ncbi:50225	diente de león
species:ncbi:910345	aceraceae 
species:ncbi:141887	Paralichthys squamilentus
species:ncbi:119956	Stemphylium botryosum var. botrytis
species:ncbi:54972	Arenaria 
species:ncbi:34599	Antricola marginatus 
species:ncbi:9986	conejo europeo
species:ncbi:2093	Mycoplasma 
species:ncbi:630691	Urophycis floridana 
species:ncbi:36050	Fusarium poae
species:ncbi:722538	Scorpaena inermis
species:ncbi:237430	Melanochlora sultanea
species:ncbi:25628	Taxus
species:ncbi:53337	Cylicocyclus
species:ncbi:2002	Streptosporangium amethystogenes
species:ncbi:108464	Amidostomum 
species:ncbi:255537	Aspidophoroides monopterygius 
species:ncbi:34902	Trachemys
species:ncbi:41112	Oryzaephilus surinamensis 
species:ncbi:64605	Sparganum 
species:ncbi:1306	s de estreptococo
species:ncbi:236510	Streptomyces ferralitis 
species:ncbi:5878	Ciliophora
species:ncbi:46173	Microtetraspora fastidiosa
species:ncbi:59484	Vespertilio
species:ncbi:242457	Skrjabingylus, SAI
species:ncbi:204433	Acidobacteriales
species:ncbi:35829	Acetivibrio
species:ncbi:70417	Chordodidae
species:ncbi:53450	Streptomyces odorifer 
species:ncbi:9058	Polyplectron 
species:ncbi:401681	Cyathostomum labiatum
species:ncbi:15303	Alopecurus
species:ncbi:1773	Mycobacterium tuberculosis hominis
species:ncbi:7745	petromyzontiformes 
species:ncbi:265429	Silanimonas lenta 
species:ncbi:8516	iguana
species:ncbi:456422	Pipra erythrocephala 
species:ncbi:58108	Actinocorallia
species:ncbi:211598	gavilán vulgar
species:ncbi:51299	Nyctalus 
species:ncbi:310514	Prevotella multisaccharivorax
species:ncbi:83191	entomopoxvirus Melanoplus sanguinipes 
species:ncbi:242447	Filaroides martis 
species:ncbi:187119	Gallicolumba 
species:ncbi:2110	Mycoplasma agalactiae
species:ncbi:56433	Couchioplanes
species:ncbi:28840	Moniezia
species:ncbi:299564	Xeneretmus leiops
species:ncbi:532089	rinovirus humano 26
species:ncbi:83655	Leclercia adecarboxylata 
species:ncbi:36258	bisbita de Hodgson
species:ncbi:459762	Stilezia 
species:ncbi:10912	Rotavirus, SAI
species:ncbi:9475	Tarsiidae 
species:ncbi:703	Plesiomonas shigelloides
species:ncbi:245188	Loktanella vestfoldensis
species:ncbi:463676	rinovirus humano C 
species:ncbi:54338	perca de dorso pálido
species:ncbi:438851	Lentzea californiensis 
species:ncbi:137743	Metasphaeria lathonia
species:ncbi:32446	clupeiformes 
species:ncbi:371907	Bubo scandiacus 
species:ncbi:4037	Apiaceae
species:ncbi:6940	Boophilus, SAI 
species:ncbi:345187	Forpus xanthopterygius 
species:ncbi:929098	Bacillus crassostreae
species:ncbi:27989	Plasmodium mexicanum
species:ncbi:67362	Streptomyces rubiginosohelvolus
species:ncbi:200890	Paramoeba, SAI
species:ncbi:94644	Sarcocystis miescheriana 
species:ncbi:92803	Limnatis 
species:ncbi:424886	minivete común
species:ncbi:200616	Rhodopseudomonas cryptolactis 
species:ncbi:662	Vibrio 
species:ncbi:184242	Osteolaemus tetraspis
species:ncbi:1559511	Manis gigantea 
species:ncbi:453227	Desulfarculales
species:ncbi:171632	Eperythrozoon ovis 
species:ncbi:1182251	Dactyloscopus tridigitatus 
species:ncbi:135587	de Histomonas 
species:ncbi:37937	Ramichloridium
species:ncbi:103829	super thelazioidea 
species:ncbi:145371	Nectarinia
species:ncbi:323266	Cyprinodon elegans 
species:ncbi:37999	Beauveria tenella 
species:ncbi:7367	Haematobia 
species:ncbi:156981	Cellulomonas hominis
species:ncbi:9495	mono de Goeldi
species:ncbi:1451	Bacillus amylolyticus 
species:ncbi:1322061	Rhizoctonia 
species:ncbi:29563	Halanaerobium salsuginis
species:ncbi:1428164	sorgo del Sudán
species:ncbi:55698	Stagnicola emarginata
species:ncbi:7864	chimaeriformes 
species:ncbi:46212	Culicoides variipennis
species:ncbi:334858	Saccharothrix coeruleoviolacea 
species:ncbi:4927	Wickerhamomyces anomalus 
species:ncbi:46474	vencejos con nidos comestibles
species:ncbi:11746	virus jaagziekte ovino 
species:ncbi:10474	Fuselloviridae 
species:ncbi:6197	Opisthorchis 
species:ncbi:547163	Mycobacterium vulneris 
species:ncbi:96732	sauria
species:ncbi:183924	Thermoprotei
species:ncbi:46142	Petiveria alliacea
species:ncbi:30480	torpedinidae - raya eléctrica
species:ncbi:84785	pradero occidental
species:ncbi:28038	Lactobacillus curvatus 
species:ncbi:265487	Blastopirellula 
species:ncbi:92172	Vibrio aerogenes 
species:ncbi:82976	Buttiauxella 
species:ncbi:5269	Ustilago 
species:ncbi:37677	Glyceria striata
species:ncbi:2034	de Curtobacterium
species:ncbi:2183	methanococcaceae 
species:ncbi:386521	Campephilus principalis
species:ncbi:1840158	Chilodochona 
species:ncbi:45005	Colchicum autumnale 
species:ncbi:643674	Paenalcaligenes hominis
species:ncbi:29521	Brachyspira
species:ncbi:3298	zamiaceae - zamia
species:ncbi:1556	Clostridium acidiurici 
species:ncbi:216934	Spiroplasma corruscae
species:ncbi:33904	Streptomyces mashuensis 
species:ncbi:654	Aeromonas ichthiosmia 
species:ncbi:36651	Penicillium digitatum 
species:ncbi:28107	Pseudoalteromonas espejiana 
species:ncbi:48075	Marinobacterium
species:ncbi:404	Methylobacillus 
species:ncbi:136845	de Pseudomonas putida 
species:ncbi:1200958	Artamus fuscus
species:ncbi:9831	hippopotamidae 
species:ncbi:2100	Mycoplasma hyorhinis 
species:ncbi:2035	Corynebacterium flaccumfaciens, sub oortii
species:ncbi:450367	Brevibacterium frigoritolerans
species:ncbi:9791	Equus zebra 
species:ncbi:145	de Borrelia 
species:ncbi:9373	Talpidae 
species:ncbi:8820	apterygidae
species:ncbi:456	Legionella jordanis
species:ncbi:51353	Methylosphaera hansonii 
species:ncbi:78119	Succinispira 
species:ncbi:9803	rhinocerotidae 
species:ncbi:700798	Labrisomus bucciferus
species:ncbi:823	Parabacteroides distasonis
species:ncbi:8930	paloma (concepto no activo)
species:ncbi:118004	Chrysiogenes
species:ncbi:64663	Callosciurus
species:ncbi:227063	Pithomyces atro-olivaceus
species:ncbi:1125401	calabacero
species:ncbi:65664	Acanthamoeba stevensoni
species:ncbi:13029	marina marcada
species:ncbi:8999	Bonasa
species:ncbi:21880	Salvia
species:ncbi:16714	Juglandaceae 
species:ncbi:43304	Mycobacterium peregrinum
species:ncbi:28085	Legionella cincinnatiensis
species:ncbi:41820	Culicoides
species:ncbi:160825	Comamonas koreensis
species:ncbi:318068	Xanthium strumarium
species:ncbi:57441	tecolote enano
species:ncbi:1205942	Aedes sierrensis
species:ncbi:45622	Propionigenium maris 
species:ncbi:1110611	Rypticus subbifrenatus
species:ncbi:2757	Brochothrix campestris 
species:ncbi:38403	de Erysipelothrix 
species:ncbi:183610	Nerodia rhombifer 
species:ncbi:46914	Devosia riboflavina
species:ncbi:266951	Erythrobacter seohaensis 
species:ncbi:4093	Nicotiana rustica 
species:ncbi:327814	Hemanthias peruanus 
species:ncbi:279957	zarapito americano
species:ncbi:1036752	Acremonium roseogriseum
species:ncbi:4058	vincapervinca
species:ncbi:47763	Streptomyces lydicus
species:ncbi:51209	Ctenosaura 
species:ncbi:82376	Anaeroarcus burkinensis 
species:ncbi:3972	Viscum album
species:ncbi:242457	Skrjabingylus 
species:ncbi:9676	Hyaeninae
species:ncbi:135448	Ploceus cucullatus 
species:ncbi:8045	Gadidae - bacalao
species:ncbi:217067	Labrys monachus 
species:ncbi:163011	Pseudomonas lini 
species:ncbi:43662	Pseudoalteromonas piscicida 
species:ncbi:1132207	Crotalaria globifera 
species:ncbi:334202	Mupapillomavirus 
species:ncbi:1774	Mycobacterium chelonae 
species:ncbi:4201	Sambucus 
species:ncbi:40541	papilomavirus ovino 
species:ncbi:43910	Muscinae
species:ncbi:381109	trepador de cabeza rayada
species:ncbi:47479	Streptosporangium album
species:ncbi:8598	Atractaspididae
species:ncbi:2082	Clostridium bryantii
species:ncbi:428992	Pseudomonas panipatensis
species:ncbi:225447	Yaniella
species:ncbi:45262	Rickettsia aeschlimannii
species:ncbi:6264	Toxocara 
species:ncbi:4930	Saccharomyces
species:ncbi:103838	Nonomuraea turkmeniaca
species:ncbi:227173	Calidris canutus
species:ncbi:1032562	sombrerete marrón
species:ncbi:33611	Cathartes
species:ncbi:13686	Solenopsis invicta
species:ncbi:33870	Coriobacterium
species:ncbi:1141471	Anopheles pretoriensis 
species:ncbi:158056	virio 
species:ncbi:1455	Bacillus badius 
species:ncbi:2109847	Skrjabinema ovis 
species:ncbi:252583	Vibrio ezurae 
species:ncbi:182988	Lutzomyia umbratilis 
species:ncbi:58113	Glycomyces
species:ncbi:47697	Holocentridae
species:ncbi:2176	Methanohalophilus mahii 
species:ncbi:91940	Rhinocladiella schulzeri
species:ncbi:186801	Clostridia 
species:ncbi:47002	Leishmania hertigi
species:ncbi:143313	Chlorophthalmus agassizi 
species:ncbi:86	Hyphomonas jannaschiana 
species:ncbi:4000	Buxaceae - boj 
species:ncbi:65661	Acanthamoeba healyi
species:ncbi:205651	Osbornictis 
species:ncbi:142586	de Eubacterium 
species:ncbi:80867	Acidovorax avenae 
species:ncbi:104397	s de Epicoccum
species:ncbi:245048	Buphagus erythrorhynchus 
species:ncbi:896	Desulfococcus
species:ncbi:8952	halcón hembra
species:ncbi:64713	Halorubrum coriense 
species:ncbi:29088	foca de Hawai
species:ncbi:111990	maullador negro
species:ncbi:226130	gusano del Congo
species:ncbi:61399	Galidia
species:ncbi:59542	bharal
species:ncbi:41707	de Lawsonia 
species:ncbi:27454	Calliphora vomitoria
species:ncbi:49647	prímula 
species:ncbi:5655	Crithidia
species:ncbi:142657	Polyplectron chalcurum
species:ncbi:29719	Mentha spicata
species:ncbi:84101	Neodiplostomum, SAI
species:ncbi:33553	sub Sciuromorpha 
species:ncbi:3482	Cannabis 
species:ncbi:1620829	Triodiomyces
species:ncbi:651740	pseudomonas cedrina
species:ncbi:161742	perdicita cordillerana austral 
species:ncbi:7207	Tabanus atratus
species:ncbi:1839	s de Nocardioides
species:ncbi:2016	Streptoalloteichus
species:ncbi:5531	Myrothecium
species:ncbi:45220	virus Flexal
species:ncbi:47884	Pseudomonas taetrolens
species:ncbi:1028423	Ceratocystidaceae
species:ncbi:68725	Canis mesomelas 
species:ncbi:273790	Potamochoerus 
species:ncbi:54057	Stercorarius
species:ncbi:139047	Anopheles bellator 
species:ncbi:148604	Lactobacillus ingluviei
species:ncbi:4013	Rhus verniciflua
species:ncbi:223967	Methylobacterium populi 
species:ncbi:6913	Araneidae
species:ncbi:9257	Ornithorhynchus
species:ncbi:47759	Streptomyces tubercidicus 
species:ncbi:253	Flavobacterium indologenes
species:ncbi:86180	Malikia spinosa 
species:ncbi:153290	Euderma 
species:ncbi:72494	Triatoma sanguisuga
species:ncbi:4543	Pennisetum americanum
species:ncbi:90733	Desulfobacterium indolicum 
species:ncbi:121353	Oxybelis
species:ncbi:8435	sapito de espolón oriental 
species:ncbi:3781	crassulaceae
species:ncbi:555492	corocoro mapurite
species:ncbi:8252	Pleuronectiformes
species:ncbi:13451	árbol de avellana
species:ncbi:36307	Agkistrodon acutus
species:ncbi:145373	Psychromonas kaikoae 
species:ncbi:112497	Ramularia
species:ncbi:181487	Actinomyces cardiffensis 
species:ncbi:9981	liebre común
species:ncbi:151325	Lasiocampa 
species:ncbi:28444	Streptosporangium claviforme
species:ncbi:289244	Xylanimicrobium
species:ncbi:389487	Acrophialophora 
species:ncbi:164817	Amianthium
species:ncbi:785	Rickettsia typhi 
species:ncbi:1496	Clostridium difficile 
species:ncbi:30597	mono de Saki
species:ncbi:1530	Clostridium carnis
species:ncbi:2120	Mycoplasma neurolyticum
species:ncbi:62080	Toxocara vitulorum
species:ncbi:757	Pasteurella mairii 
species:ncbi:2285	Sulfolobus acidocaldarius 
species:ncbi:9665	mustela 
species:ncbi:302527	ganga de Pallas
species:ncbi:61597	Thiocystis minor
species:ncbi:155616	Tremellomycetes
species:ncbi:80868	Pseudomonas cattleyae
species:ncbi:8728	serpiente cascabel 
species:ncbi:29083	Arctocephalus
species:ncbi:97050	Ruegeria 
species:ncbi:1567	Quinella
species:ncbi:2191	Methanomicrobiales 
species:ncbi:9225	Ara
species:ncbi:29065	Martes martes 
species:ncbi:766	Rickettsiales
species:ncbi:5804	Eimeria maxima 
species:ncbi:2117	Mycoplasma lipophilum 
species:ncbi:54056	págalo grande 
species:ncbi:144041	Pogonomyrmex occidentalis
species:ncbi:35545	Polytelis anthropeplus 
species:ncbi:40324	Xanthomonas maltophilia - RETIRADO -
species:ncbi:1090	Chlorobi
species:ncbi:177972	Shuttleworthia satelles 
species:ncbi:45361	Mycoplasma conjunctivae 
species:ncbi:46295	boomslang africana
species:ncbi:34008	Rhodovulum
species:ncbi:54006	Peptoniphilus ivorii 
species:ncbi:334427	Cerithidea cingulata
species:ncbi:9493	tití pigmeo
species:ncbi:2235	Halobacteriales
species:ncbi:66900	Streptomyces lanatus 
species:ncbi:91214	Juglans cinerea
species:ncbi:980244	Pachystigma thamnus
species:ncbi:153494	Rarobacter incanus 
species:ncbi:9049	Pavo cristatus
species:ncbi:960	Bacteriovorax stolpii
species:ncbi:191808	Segmentina
species:ncbi:117563	Granulicatella 
species:ncbi:2419	Thermotogales 
species:ncbi:2864	Dinophyceae
species:ncbi:4034	Oxalis 
species:ncbi:226	Alteromonas
species:ncbi:220684	Bacillus drentensis
species:ncbi:9857	Capreolus
species:ncbi:121221	: Pediculidae
species:ncbi:172044	Sphingomonas yabuuchiae 
species:ncbi:197911	de virus Influenza A 
species:ncbi:644652	Gordonibacter
species:ncbi:66921	Benedenia, SAI
species:ncbi:188709	Thermotogaceae
species:ncbi:162491	Oerskovia
species:ncbi:582665	Leifsonia soli 
species:ncbi:267989	Lebetimonas
species:ncbi:1286	Staphylococcus simulans 
species:ncbi:64663	Callosciurus
species:ncbi:9874	Odocoileus virginianus
species:ncbi:22	Shewanella 
species:ncbi:249409	Hydrogenophaga atypica 
species:ncbi:5140	Neurospora 
species:ncbi:62255	Tersina viridis 
species:ncbi:1258	Peptostreptococcus asaccharolyticus 
species:ncbi:505	Kingella oralis 
species:ncbi:9193	laniidae
species:ncbi:99479	Tetrasphaera
species:ncbi:9915	Bos taurus indicus
species:ncbi:28688	Alca
species:ncbi:56325	Motacilla cinerea 
species:ncbi:1082637	Metorchis albidus 
species:ncbi:722517	Acyrtops beryllinus 
species:ncbi:57378	Callithrix penicillata 
species:ncbi:42235	Streptomyces bottropensis 
species:ncbi:135425	Nectariniidae 
species:ncbi:5806	criptosporidio
species:ncbi:91658	Stenobrachius leucopsarus 
species:ncbi:1385	Bacillales
species:ncbi:170673	Vibrio kanaloae 
species:ncbi:216851	Faecalibacterium 
species:ncbi:43996	s de Catonella 
species:ncbi:8751	Lachesis
species:ncbi:215802	Enhygromyxa 
species:ncbi:668547	Teratosphaeriaceae
species:ncbi:366289	Pseudomonas delhiensis 
species:ncbi:83449	Cystobacter ferrugineus
species:ncbi:529880	Taenia twitchelli
species:ncbi:6312	: Angiostrongylus
species:ncbi:56267	lechuza campestre 
species:ncbi:99785	Phlebotomus longicuspis
species:ncbi:112528	Biomphalaria tenagophila 
species:ncbi:55802	Thermococcus barophilus
species:ncbi:57975	Burkholderia thailandensis 
species:ncbi:7384	Sarcophaga 
species:ncbi:147538	Pezizomycotina
species:ncbi:1322	Streptococcus hansenii
species:ncbi:84999	Coriobacteriales 
species:ncbi:172271	Parahyaena brunnea 
species:ncbi:114090	Pediococcus inopinatus 
species:ncbi:8332	Ensatina eschscholtzi 
species:ncbi:46203	Actinomadura glomerata 
species:ncbi:73030	Dechloromonas agitata 
species:ncbi:472768	Green-tailed sylph
species:ncbi:701041	Mycobacterium bouchedurhonense 
species:ncbi:1064514	Lamprobacter modestohalophilus 
species:ncbi:197560	Nanophyetus 
species:ncbi:803	Rochalimaea quintana - RETIRADO - (concepto no activo)
species:ncbi:545163	carpa narizona
species:ncbi:40805	Dasytricha, SAI
species:ncbi:1406	Bacillus polymyxa 
species:ncbi:1890302	Bacillus wiedmannii
species:ncbi:53392	Thiodictyon 
species:ncbi:76259	Ferribacterium limneticum
species:ncbi:151731	Lophogobius cyprinoides 
species:ncbi:1335626	síndrome respiratorio por coronavirus de Oriente Medio 
species:ncbi:55543	Platysternon
species:ncbi:9635	Melursus
species:ncbi:1286178	Trichopsetta ventralis 
species:ncbi:283735	Leeuwenhoekiella
species:ncbi:36274	Leiothrix
species:ncbi:84836	maicero
species:ncbi:83302	Microbispora corallina 
species:ncbi:114233	Dipetalonema
species:ncbi:88456	Cyclospora cayetanensis
species:ncbi:253628	Ochroconis gallopava
species:ncbi:156454	Anaeroglobus
species:ncbi:2052	Falcivibrio grandis 
species:ncbi:67360	Streptomyces roseoviolaceus 
species:ncbi:3287	helecho macho
species:ncbi:7587	super Asterozoa 
species:ncbi:159290	Desulfonatronum thiodismutans
species:ncbi:338151	félido
species:ncbi:89367	Saccharopolyspora thermophila
species:ncbi:1042307	Nocomis effusus 
species:ncbi:6990	Nauphoeta cinerea
species:ncbi:6608	jibia
species:ncbi:46187	Streptosporangium longisporum
species:ncbi:1407617	Lagoa crispata
species:ncbi:55731	hydrobiidae
species:ncbi:43062	engraulidae - anchoa 
species:ncbi:41984	Aspergillus tamarii 
species:ncbi:56554	Coregonus alpenae
species:ncbi:47420	Hydrogenophaga 
species:ncbi:209274	Entomoplasma lucivorax
species:ncbi:46239	Mesoplasma 
species:ncbi:36822	Gordonia rubropertinctus
species:ncbi:68268	Streptomyces showdoensis 
species:ncbi:34899	falangérido de azúcar
species:ncbi:47690	menuridae 
species:ncbi:2170310	Klossiella, SAI
species:ncbi:116071	Micropruina
species:ncbi:34870	Naemorhedus
species:ncbi:124690	Hybomitra 
species:ncbi:103725	Kutzneria kofuensis 
species:ncbi:880551	Campephagidae
species:ncbi:61648	Enterobacter intermedium
species:ncbi:89651	dompedro
species:ncbi:60876	virus Pixuna
species:ncbi:100176	Papillibacter cinnamivorans 
species:ncbi:157782	Pseudomonas parafulva 
species:ncbi:1859	Frankia alni 
species:ncbi:118791	rostratulidae
species:ncbi:7387	moscardones
species:ncbi:121616	Micromonospora matsumotoense
species:ncbi:34059	Moraxella (Moraxella) atlantae 
species:ncbi:98155	Yuhina
species:ncbi:9696	Felis concolor (organismo vivo)
species:ncbi:274768	Radulinus asprellus
species:ncbi:111504	Bartonella birtlesii
species:ncbi:40990	Saccharomonospora glauca
species:ncbi:2015	Nocardiopsis prasina
species:ncbi:7199	Lutzomyia 
species:ncbi:5258	moho - hongo 
species:ncbi:70774	Hydrogenophilus
species:ncbi:69825	Clostridium indolis 
species:ncbi:188143	Enterovibrio
species:ncbi:38313	Shewanella algae 
species:ncbi:82982	Obesumbacterium 
species:ncbi:7389	Hypoderma lineatum
species:ncbi:9869	Rangifer 
species:ncbi:100590	Bilharziella polonica 
species:ncbi:1218	Prochlorococcus 
species:ncbi:72077	Sebastes gilli
species:ncbi:168657	Hydrogenobaculum 
